date,attempts,successful_transactions,failed_transactions,gmv_cny,success_rate
2025-01-01,15937,15210,727,549959.11,0.95438
2025-01-02,15851,15131,720,548021.5700000002,0.95458
2025-01-03,15871,15127,744,550362.4999999998,0.95312
2025-01-04,17560,16780,780,610347.1200000001,0.95558
2025-01-05,17726,16921,805,612766.2400000006,0.95459
2025-01-06,15994,15245,749,553487.7999999998,0.95317
2025-01-07,16164,15409,755,558305.68,0.95329
2025-01-08,16058,15319,739,555976.5000000001,0.95398
2025-01-09,16039,15289,750,556061.4500000002,0.95324
2025-01-10,16157,15418,739,559606.7499999998,0.95426
2025-01-11,17759,16958,801,614769.1799999998,0.9549
2025-01-12,17947,17134,813,619670.1300000001,0.9547
2025-01-13,16213,15467,746,561734.98,0.95399
2025-01-14,16290,15541,749,563080.2700000001,0.95402
2025-01-15,16251,15517,734,565393.24,0.95483
2025-01-16,16161,15423,738,561181.9900000002,0.95433
2025-01-17,16296,15556,740,564432.55,0.95459
2025-01-18,18044,17218,826,628560.7899999998,0.95422
2025-01-19,17952,17129,823,620939.4599999997,0.95416
2025-01-20,16567,15852,715,574949.4599999997,0.95684
2025-01-21,16268,15505,763,565379.87,0.9531
2025-01-22,16468,15714,754,572653.72,0.95421
2025-01-23,16566,15793,773,575010.9000000003,0.95334
2025-01-24,16244,15491,753,562083.3799999998,0.95364
2025-01-25,18255,17386,869,632826.53,0.9524
2025-01-26,18207,17389,818,630594.1999999998,0.95507
2025-01-27,16489,15695,794,570362.1500000001,0.95185
2025-01-28,16568,15802,766,575682.5300000004,0.95377
2025-01-29,16742,15973,769,578941.8799999998,0.95407
2025-01-30,16657,15889,768,576059.4799999999,0.95389
2025-01-31,16568,15773,795,572079.3299999996,0.95202
2025-02-01,18257,17426,831,632496.2899999996,0.95448
2025-02-02,18374,17540,834,638194.0299999994,0.95461
2025-02-03,16614,15862,752,575893.33,0.95474
2025-02-04,16695,15903,792,578957.6300000001,0.95256
2025-02-05,16750,15957,793,579465.5499999999,0.95266
2025-02-06,16859,16092,767,584593.0700000001,0.95451
2025-02-07,16885,16096,789,583814.5700000002,0.95327
2025-02-08,18584,17758,826,646212.2599999998,0.95555
2025-02-09,18420,17552,868,639069.6700000006,0.95288
2025-02-10,16874,16069,805,582454.9400000001,0.95229
2025-02-11,16922,16141,781,585233.7499999999,0.95385
2025-02-12,16859,16069,790,585338.0599999998,0.95314
2025-02-13,16877,16103,774,583834.6100000001,0.95414
2025-02-14,17049,16258,791,590739.5600000003,0.9536
2025-02-15,18640,17779,861,644197.2600000002,0.95381
2025-02-16,18794,17911,883,651171.1800000004,0.95302
2025-02-17,17034,16238,796,585867.9500000001,0.95327
2025-02-18,17047,16284,763,592340.84,0.95524
2025-02-19,17068,16290,778,592311.9099999998,0.95442
2025-02-20,17042,16273,769,590148.29,0.95488
2025-02-21,17096,16305,791,591723.5700000002,0.95373
2025-02-22,18905,18065,840,656108.45,0.95557
2025-02-23,18838,17996,842,654200.3999999999,0.9553
2025-02-24,17161,16371,790,596328.84,0.95397
2025-02-25,17129,16360,769,593537.5400000002,0.95511
2025-02-26,17316,16545,771,600196.4200000002,0.95547
2025-02-27,17196,16413,783,594405.2799999996,0.95447
2025-02-28,17258,16467,791,599471.9300000003,0.95417
2025-03-01,18925,18063,862,656556.3299999997,0.95445
2025-03-02,19171,18313,858,665826.1100000003,0.95524
2025-03-03,17350,16573,777,597276.24,0.95522
2025-03-04,17386,16587,799,600423.1399999998,0.95404
2025-03-05,17312,16495,817,598434.8899999999,0.95281
2025-03-06,17344,16520,824,600577.5599999998,0.95249
2025-03-07,17481,16683,798,605144.2899999999,0.95435
2025-03-08,19230,18338,892,665134.6199999998,0.95361
2025-03-09,19223,18343,880,667728.6699999997,0.95422
2025-03-10,17412,16600,812,604195.2300000003,0.95337
2025-03-11,17493,16657,836,607841.7800000003,0.95221
2025-03-12,17621,16776,845,610218.8500000003,0.95205
2025-03-13,17483,16687,796,606813.1399999995,0.95447
2025-03-14,17526,16715,811,607531.6800000003,0.95373
2025-03-15,19454,18565,889,673608.7199999994,0.9543
2025-03-16,19392,18492,900,671976.7100000002,0.95359
2025-03-17,17662,16869,793,611715.2000000001,0.9551
2025-03-18,17569,16745,824,608967.4099999999,0.9531
2025-03-19,17788,17007,781,618621.1899999997,0.95609
2025-03-20,17735,16915,820,613975.9499999998,0.95376
2025-03-21,17745,16934,811,615555.3900000004,0.9543
2025-03-22,19725,18794,931,682262.46,0.9528
2025-03-23,19726,18799,927,681303.93,0.95301
2025-03-24,17813,16985,828,618221.7099999997,0.95352
2025-03-25,17835,17016,819,616385.1499999998,0.95408
2025-03-26,17972,17131,841,623386.24,0.9532
2025-03-27,17863,17035,828,616976.5099999997,0.95365
2025-03-28,17880,17069,811,619819.56,0.95464
2025-03-29,19810,18892,918,687659.7700000006,0.95366
2025-03-30,19705,18815,890,683538.7100000001,0.95483
2025-03-31,17976,17134,842,620864.5299999998,0.95316
2025-04-01,18007,17162,845,622964.21,0.95307
2025-04-02,18050,17237,813,625942.5900000001,0.95496
2025-04-03,17954,17129,825,624705.48,0.95405
2025-04-04,18127,17263,864,627755.4499999997,0.95234
2025-04-05,19991,19064,927,692577.9699999996,0.95363
2025-04-06,20087,19162,925,695827.4300000002,0.95395
2025-04-07,18150,17311,839,629961.5299999999,0.95377
2025-04-08,18075,17227,848,629126.3199999997,0.95308
2025-04-09,18239,17377,862,629457.2400000002,0.95274
2025-04-10,18186,17330,856,629264.8499999999,0.95293
2025-04-11,18217,17392,825,634291.5800000003,0.95471
2025-04-12,20144,19182,962,693924.32,0.95224
2025-04-13,20289,19345,944,702220.0900000001,0.95347
2025-04-14,18288,17449,839,633689.5399999999,0.95412
2025-04-15,18280,17452,828,634429.9099999999,0.9547
