month,attempts,successful_transactions,failed_transactions,gmv_cny,success_rate
2025-01,517869,494054,23815,17941280.74000003,0.95401
2025-02,488543,466123,22420,16928307.18000002,0.95411
2025-03,564607,538547,26060,19558541.670000046,0.95384
2025-04,564141,538096,26045,19536668.410000023,0.95383
2025-05,605871,578191,27680,20992285.649999928,0.95431
2025-06,608876,580882,27994,21094122.830000065,0.95402
2025-07,647433,617716,29717,22424295.939999957,0.9541
2025-08,674283,643225,31058,23360157.37000001,0.95394
2025-09,669294,638366,30928,23183067.889999967,0.95379
2025-10,713819,680971,32848,24756447.879999902,0.95398
2025-11,717349,684426,32923,24866356.029999986,0.9541
2025-12,757964,723002,34962,26277460.23000004,0.95387
