date,region,issuer,merchant_category,device_segment,attempts,successful_transactions,failed_transactions,gmv_cny,is_anomaly_window,is_synthetic
2025-01-01,East China,Issuer A,Retail,Recent phone,51,49,2,784.89,0,1
2025-01-01,East China,Issuer A,Retail,Older phone,51,49,2,974.08,0,1
2025-01-01,East China,Issuer A,Retail,Watch,40,38,2,734.13,0,1
2025-01-01,East China,Issuer A,Dining,Recent phone,58,55,3,1381.53,0,1
2025-01-01,East China,Issuer A,Dining,Older phone,53,50,3,1207.76,0,1
2025-01-01,East China,Issuer A,Dining,Watch,46,43,3,1038.47,0,1
2025-01-01,East China,Issuer A,Transit,Recent phone,56,54,2,1787.23,0,1
2025-01-01,East China,Issuer A,Transit,Older phone,58,55,3,1709.07,0,1
2025-01-01,East China,Issuer A,Transit,Watch,49,45,4,1411.57,0,1
2025-01-01,East China,Issuer A,Grocery,Recent phone,65,60,5,2230.56,0,1
2025-01-01,East China,Issuer A,Grocery,Older phone,69,68,1,2626.45,0,1
2025-01-01,East China,Issuer A,Grocery,Watch,51,48,3,1904.86,0,1
2025-01-01,East China,Issuer A,Digital,Recent phone,75,72,3,3253.79,0,1
2025-01-01,East China,Issuer A,Digital,Older phone,63,60,3,2743.49,0,1
2025-01-01,East China,Issuer A,Digital,Watch,50,47,3,2127.12,0,1
2025-01-01,East China,Issuer B,Retail,Recent phone,52,51,1,853.32,0,1
2025-01-01,East China,Issuer B,Retail,Older phone,44,41,3,727.65,0,1
2025-01-01,East China,Issuer B,Retail,Watch,40,39,1,640.17,0,1
2025-01-01,East China,Issuer B,Dining,Recent phone,53,50,3,1212.45,0,1
2025-01-01,East China,Issuer B,Dining,Older phone,57,54,3,1330.67,0,1
2025-01-01,East China,Issuer B,Dining,Watch,42,37,5,887.23,0,1
2025-01-01,East China,Issuer B,Transit,Recent phone,65,64,1,2088.49,0,1
2025-01-01,East China,Issuer B,Transit,Older phone,59,56,3,1773.89,0,1
2025-01-01,East China,Issuer B,Transit,Watch,45,44,1,1349.42,0,1
2025-01-01,East China,Issuer B,Grocery,Recent phone,69,66,3,2497.1,0,1
2025-01-01,East China,Issuer B,Grocery,Older phone,50,48,2,1858.65,0,1
2025-01-01,East China,Issuer B,Grocery,Watch,52,50,2,1876.48,0,1
2025-01-01,East China,Issuer B,Digital,Recent phone,75,72,3,3297.04,0,1
2025-01-01,East China,Issuer B,Digital,Older phone,68,64,4,2936.69,0,1
2025-01-01,East China,Issuer B,Digital,Watch,54,52,2,2495.29,0,1
2025-01-01,East China,Issuer C,Retail,Recent phone,52,49,3,796.98,0,1
2025-01-01,East China,Issuer C,Retail,Older phone,41,39,2,745.5,0,1
2025-01-01,East China,Issuer C,Retail,Watch,43,41,2,757.44,0,1
2025-01-01,East China,Issuer C,Dining,Recent phone,63,61,2,1496.8,0,1
2025-01-01,East China,Issuer C,Dining,Older phone,50,49,1,1254.98,0,1
2025-01-01,East China,Issuer C,Dining,Watch,33,32,1,828.09,0,1
2025-01-01,East China,Issuer C,Transit,Recent phone,64,62,2,1981.31,0,1
2025-01-01,East China,Issuer C,Transit,Older phone,54,52,2,1709.27,0,1
2025-01-01,East China,Issuer C,Transit,Watch,53,50,3,1578.04,0,1
2025-01-01,East China,Issuer C,Grocery,Recent phone,61,57,4,2110.65,0,1
2025-01-01,East China,Issuer C,Grocery,Older phone,56,54,2,2147.31,0,1
2025-01-01,East China,Issuer C,Grocery,Watch,53,50,3,1911.34,0,1
2025-01-01,East China,Issuer C,Digital,Recent phone,67,65,2,3014.71,0,1
2025-01-01,East China,Issuer C,Digital,Older phone,70,68,2,3031.67,0,1
2025-01-01,East China,Issuer C,Digital,Watch,55,52,3,2415.19,0,1
2025-01-01,East China,Issuer D,Retail,Recent phone,56,54,2,1013.76,0,1
