cohort_week,eligible_devices,provision_started,activated,first_transaction,repeat_30d,activation_rate,first_txn_rate,repeat_30d_rate
2025-01-01,1150,713,547,444,288,0.4757,0.8117,0.6486
2025-01-08,1256,779,619,502,320,0.4928,0.811,0.6375
2025-01-15,1268,788,620,514,328,0.489,0.829,0.6381
2025-01-22,1296,807,634,518,330,0.4892,0.817,0.6371
2025-01-29,1276,796,611,499,318,0.4788,0.8167,0.6373
2025-02-05,1283,801,628,518,334,0.4895,0.8248,0.6448
2025-02-12,1321,826,656,538,344,0.4966,0.8201,0.6394
2025-02-19,1286,806,636,527,343,0.4946,0.8286,0.6509
2025-02-26,1393,874,688,570,368,0.4939,0.8285,0.6456
2025-03-05,1316,827,646,535,357,0.4909,0.8282,0.6673
2025-03-12,1343,846,651,535,358,0.4847,0.8218,0.6692
2025-03-19,1413,891,695,567,372,0.4919,0.8158,0.6561
2025-03-26,1387,876,696,573,374,0.5018,0.8233,0.6527
2025-04-02,1473,932,730,595,389,0.4956,0.8151,0.6538
2025-04-09,1441,913,722,594,405,0.501,0.8227,0.6818
2025-04-16,1476,937,717,588,397,0.4858,0.8201,0.6752
2025-04-23,1534,975,764,622,414,0.498,0.8141,0.6656
2025-04-30,1552,988,782,645,433,0.5039,0.8248,0.6713
2025-05-07,1483,946,727,604,403,0.4902,0.8308,0.6672
2025-05-14,1547,988,768,629,426,0.4964,0.819,0.6773
2025-05-21,1569,1004,786,641,439,0.501,0.8155,0.6849
2025-05-28,1610,1032,818,679,460,0.5081,0.8301,0.6775
2025-06-04,1560,1001,787,641,439,0.5045,0.8145,0.6849
2025-06-11,1661,1068,844,683,478,0.5081,0.8092,0.6999
2025-06-18,1645,1059,838,690,465,0.5094,0.8234,0.6739
2025-06-25,1621,1045,818,677,471,0.5046,0.8276,0.6957
2025-07-02,1634,1055,827,675,464,0.5061,0.8162,0.6874
2025-07-09,1642,1062,816,668,468,0.497,0.8186,0.7006
2025-07-16,1686,1092,859,706,494,0.5095,0.8219,0.6997
2025-07-23,1710,1109,881,715,495,0.5152,0.8116,0.6923
2025-07-30,1778,1155,884,720,504,0.4972,0.8145,0.7
2025-08-06,1777,1156,907,740,514,0.5104,0.8159,0.6946
2025-08-13,1801,1174,931,758,528,0.5169,0.8142,0.6966
2025-08-20,1785,1165,905,731,506,0.507,0.8077,0.6922
2025-08-27,1817,1188,923,761,529,0.508,0.8245,0.6951
2025-09-03,1824,1194,918,758,549,0.5033,0.8257,0.7243
2025-09-10,1814,1189,944,769,545,0.5204,0.8146,0.7087
2025-09-17,1916,1258,968,799,560,0.5052,0.8254,0.7009
2025-09-24,1854,1219,949,773,555,0.5119,0.8145,0.718
2025-10-01,1915,1261,980,795,566,0.5117,0.8112,0.7119
2025-10-08,1923,1269,996,813,592,0.5179,0.8163,0.7282
2025-10-15,1908,1261,999,816,589,0.5236,0.8168,0.7218
2025-10-22,1985,1314,1023,844,613,0.5154,0.825,0.7263
2025-10-29,2002,1327,1027,849,627,0.513,0.8267,0.7385
2025-11-05,2032,1349,1066,885,637,0.5246,0.8302,0.7198
2025-11-12,1970,1310,1005,832,601,0.5102,0.8279,0.7224
2025-11-19,2070,1378,1077,890,646,0.5203,0.8264,0.7258
2025-11-26,2079,1386,1092,905,670,0.5253,0.8288,0.7403
2025-12-03,2030,1356,1042,853,616,0.5133,0.8186,0.7222
2025-12-10,2081,1392,1101,895,653,0.5291,0.8129,0.7296
2025-12-17,2131,1427,1101,915,686,0.5167,0.8311,0.7497
2025-12-24,2108,1414,1099,895,658,0.5213,0.8144,0.7352
